pred,true
[13.038785],[11.908434]
[12.098874],[11.1182995]
[11.00139],[10.261933]
[10.049038],[9.235066]
[9.15171],[8.166467]
[8.090519],[7.0588336]
[7.095313],[5.9177]
[6.18695],[4.7371335]
[5.06441],[3.5487335]
[3.7890608],[2.4672666]
[2.603234],[1.5122665]
[1.4893255],[0.77000004]
[0.58103555],[0.31746665]
[0.1041671],[0.15626663]
[0.03815702],[0.03913333]
[0.08443233],[-0.00026667]
[0.12146175],[0.0892]
[0.8941605],[0.26746666]
[1.5230713],[0.4582667]
[1.91222],[1.4494001]
[2.4884546],[2.5726]
[4.7572536],[3.6894665]
[5.928144],[4.8504667]
[7.3755193],[6.017133]
[8.379957],[7.127466]
[9.410646],[8.203466]
[10.336481],[9.305266]
[11.390039],[10.248933]
[12.333092],[11.1312]
[13.187483],[12.0152]
[14.025571],[12.755134]
[14.759016],[13.378599]
[15.449449],[13.976199]
[15.922326],[14.548667]
[16.235607],[15.136066]
[16.505426],[15.7126]
[16.69279],[16.012335]
[16.768393],[16.244598]
[16.845913],[16.4878]
[16.83902],[16.6772]
[16.854246],[5.6047997]
[16.824768],[0.11483335]
[13.491913],[0.28179994]
[7.876967],[0.43900004]
[4.8983464],[1.3757666]
[3.8726432],[2.6421332]
[4.9733963],[3.8494334]
[6.06974],[5.090833]
[7.3316636],[6.3030667]
[8.400957],[7.4870667]
[9.356792],[8.625934]
[10.331138],[9.707933]
[11.36009],[10.735134]
[12.383727],[11.663867]
[13.251566],[12.528333]
[14.071561],[13.311]
[14.791447],[13.986701]
[15.416436],[14.501765]
[15.827858],[15.1548]
[16.119045],[15.660666]
[16.362139],[16.084633]
[16.523066],[16.460533]
[16.600065],[16.5759]
[16.703882],[16.819967]
[16.735388],[16.953434]
[16.766882],[16.955467]
[16.588312],[17.018566]
[16.186543],[17.005966]
[16.184778],[17.095034]
[16.254963],[16.691566]
[16.029915],[16.393166]
[15.854778],[15.996234]
[15.565377],[15.836567]
[15.303913],[15.459001]
[14.958153],[14.915167]
[14.532996],[14.3744335]
[14.029245],[13.6682005]
[13.419851],[13.0735]
[12.708683],[12.354967]
[11.767502],[11.4935665]
[10.715945],[10.58]
